Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Регулярный
16.0,93.0,2.0,2.0,1.0,78.0,13.0,7.0,11.625,12.0,13.0,9.0,False,False
89.0,651.0,3.0,2.0,1.0,563.0,23.0,6.0,14.629213483146067,15.0,12.0,9.0,False,False
81.0,2015.0,2.0,2.0,1.0,1935.0,58.0,40.0,49.75308641975309,50.0,48.0,23.0,False,False
61.0,157.0,,,2.0,98.0,11.0,0.0,5.147540983606557,5.0,5.0,5.0,False,False
20.0,79.0,2.0,2.0,1.0,60.0,12.0,5.0,7.9,7.0,7.0,6.0,False,False
27.0,221.0,2.0,2.0,1.0,195.0,21.0,12.0,16.37037037037037,16.0,16.0,12.0,False,False
9.0,17.0,3.0,2.0,1.0,9.0,5.0,2.0,3.7777777777777777,4.0,4.0,3.0,False,False
20.0,87.0,3.0,2.0,1.0,68.0,13.0,5.0,8.7,9.0,9.0,6.0,False,False
79.0,2877.0,2.0,2.0,1.0,2799.0,77.0,68.0,72.83544303797468,73.0,74.0,41.0,False,False
43.0,471.0,2.0,2.0,1.0,429.0,28.0,13.0,21.906976744186046,22.0,22.0,12.0,False,False
64.0,1075.0,2.0,2.0,1.0,1012.0,41.0,26.0,33.59375,33.0,31.0,16.0,False,False
87.0,3479.0,2.0,2.0,1.0,3393.0,85.0,74.0,79.97701149425288,80.0,81.0,46.0,False,False
15.0,33.0,3.0,2.0,1.0,19.0,7.0,2.0,4.4,4.0,3.0,4.0,False,False
34.0,39.0,,,3.0,8.0,4.0,0.0,2.2941176470588234,2.0,3.0,3.0,False,False
28.0,285.0,2.0,2.0,1.0,258.0,23.0,17.0,20.357142857142858,21.0,22.0,14.0,False,False
57.0,1361.0,2.0,2.0,1.0,1305.0,53.0,42.0,47.75438596491228,48.0,49.0,29.0,False,False
90.0,1509.0,2.0,2.0,1.0,1420.0,43.0,23.0,33.53333333333333,34.0,35.0,15.0,False,False
37.0,295.0,2.0,2.0,1.0,259.0,24.0,9.0,15.945945945945946,16.0,16.0,10.0,False,False
79.0,561.0,3.0,2.0,1.0,483.0,23.0,7.0,14.20253164556962,13.0,13.0,8.0,False,False
64.0,1624.0,2.0,2.0,1.0,1561.0,57.0,37.0,50.75,51.0,51.0,26.0,False,False
84.0,233.0,5.0,4.0,1.0,150.0,11.0,2.0,5.5476190476190474,5.0,6.0,5.0,False,False
35.0,495.0,2.0,2.0,1.0,461.0,33.0,24.0,28.285714285714285,29.0,29.0,17.0,False,False
63.0,831.0,2.0,2.0,1.0,769.0,35.0,19.0,26.38095238095238,26.0,30.0,12.0,False,False
66.0,1962.0,2.0,2.0,1.0,1897.0,64.0,53.0,59.45454545454545,60.0,60.0,33.0,False,False
10.0,30.0,2.0,2.0,1.0,21.0,8.0,4.0,6.0,6.0,7.0,5.0,False,False
66.0,955.0,2.0,2.0,1.0,890.0,39.0,21.0,28.939393939393938,29.0,28.0,13.0,False,False
64.0,1699.0,2.0,2.0,1.0,1636.0,60.0,47.0,53.09375,53.0,52.0,28.0,False,False
62.0,426.0,3.0,2.0,1.0,365.0,20.0,8.0,13.741935483870968,13.0,12.0,10.0,False,False
93.0,1937.0,2.0,2.0,1.0,1845.0,52.0,30.0,41.655913978494624,41.0,37.0,18.0,False,False
20.0,100.0,2.0,2.0,1.0,81.0,14.0,7.0,10.0,11.0,11.0,6.0,False,False
69.0,1698.0,2.0,2.0,1.0,1630.0,58.0,40.0,49.21739130434783,50.0,51.0,24.0,False,False
84.0,2429.0,2.0,2.0,1.0,2346.0,71.0,49.0,57.833333333333336,58.0,56.0,26.0,False,False
68.0,1029.0,2.0,2.0,1.0,962.0,40.0,20.0,30.264705882352942,30.0,30.0,15.0,False,False
60.0,398.0,3.0,2.0,1.0,339.0,21.0,7.0,13.266666666666667,13.0,12.0,8.0,False,False
23.0,252.0,2.0,1.0,1.0,230.0,22.0,21.0,21.91304347826087,22.0,22.0,22.0,False,False
8.0,17.0,2.0,2.0,1.0,10.0,6.0,3.0,4.25,4.0,4.0,5.0,False,False
17.0,133.0,2.0,1.0,1.0,117.0,16.0,14.0,15.647058823529411,16.0,16.0,16.0,False,False
81.0,1053.0,2.0,2.0,1.0,973.0,38.0,16.0,26.0,26.0,21.0,12.0,False,False
73.0,1627.0,2.0,2.0,1.0,1555.0,55.0,34.0,44.57534246575342,45.0,46.0,20.0,False,False
43.0,180.0,3.0,2.0,1.0,138.0,16.0,3.0,8.372093023255815,9.0,9.0,6.0,False,False
14.0,42.0,3.0,2.0,1.0,29.0,8.0,3.0,6.0,6.0,6.0,5.0,False,False
57.0,1591.0,2.0,1.0,1.0,1535.0,56.0,54.0,55.824561403508774,56.0,56.0,53.0,False,False
41.0,82.0,6.0,3.0,1.0,42.0,9.0,1.0,4.0,4.0,4.0,5.0,False,False
91.0,2939.0,2.0,2.0,1.0,2849.0,73.0,54.0,64.5934065934066,65.0,65.0,28.0,False,False
14.0,72.0,2.0,1.0,1.0,59.0,13.0,7.0,10.285714285714286,10.0,9.0,8.0,False,False
13.0,40.0,3.0,2.0,1.0,28.0,9.0,2.0,6.153846153846154,6.0,6.0,5.0,False,False
18.0,141.0,2.0,1.0,1.0,124.0,17.0,12.0,15.666666666666666,16.0,16.0,11.0,False,False
68.0,670.0,3.0,2.0,1.0,603.0,28.0,12.0,19.705882352941178,19.0,22.0,11.0,False,False
37.0,456.0,2.0,2.0,1.0,420.0,31.0,19.0,24.64864864864865,24.0,24.0,14.0,False,False
36.0,510.0,2.0,2.0,1.0,475.0,32.0,23.0,28.333333333333332,29.0,29.0,16.0,False,False
63.0,610.0,3.0,2.0,1.0,548.0,27.0,13.0,19.365079365079364,19.0,16.0,10.0,False,False
61.0,1733.0,2.0,1.0,1.0,1673.0,60.0,53.0,56.81967213114754,57.0,57.0,36.0,False,False
62.0,497.0,3.0,2.0,1.0,436.0,23.0,7.0,16.032258064516128,16.0,17.0,10.0,False,False
66.0,656.0,3.0,2.0,1.0,591.0,28.0,13.0,19.87878787878788,20.0,20.0,11.0,False,False
79.0,569.0,3.0,2.0,1.0,491.0,21.0,7.0,14.405063291139241,15.0,16.0,9.0,False,False
66.0,207.0,5.0,3.0,1.0,142.0,12.0,2.0,6.2727272727272725,6.0,5.0,5.0,False,False
25.0,91.0,3.0,2.0,1.0,67.0,11.0,4.0,7.28,7.0,7.0,6.0,False,False
55.0,821.0,2.0,2.0,1.0,767.0,35.0,24.0,29.854545454545455,30.0,29.0,15.0,False,False
60.0,1740.0,2.0,1.0,1.0,1681.0,59.0,56.0,58.0,58.0,58.0,45.0,False,False
27.0,80.0,4.0,2.0,1.0,54.0,12.0,1.0,5.925925925925926,6.0,6.0,5.0,False,False
91.0,3016.0,2.0,2.0,1.0,2926.0,74.0,54.0,66.28571428571429,66.0,69.0,29.0,False,False
10.0,36.0,2.0,1.0,1.0,27.0,9.0,5.0,7.2,7.0,7.0,7.0,False,False
93.0,832.0,3.0,2.0,1.0,740.0,28.0,11.0,17.892473118279568,18.0,19.0,10.0,False,False
37.0,323.0,2.0,2.0,1.0,287.0,22.0,11.0,17.45945945945946,17.0,15.0,12.0,False,False
