,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
54597,7.0,11.0,3.0,2.0,1.0,5.0,5.0,2.0,3.142857142857143,3.0,3.0,4.0,True,6.0,3.6666666666666665,3.0,7.0,3.0
54601,22.0,10.0,2.0,2.0,12.0,0.0,3.0,0.0,0.9090909090909091,1.0,1.0,3.0,True,1.0,20.0,20.0,20.0,20.0
54607,17.0,21.0,2.0,2.0,4.0,8.0,4.0,0.0,2.4705882352941178,3.0,3.0,3.0,True,9.0,4.666666666666667,4.0,9.0,3.0
54619,58.0,30.0,2.0,2.0,28.0,0.0,4.0,0.0,1.0344827586206897,1.0,1.0,3.0,True,1.0,60.0,60.0,60.0,60.0
54621,14.0,19.0,7.0,4.0,1.0,6.0,5.0,1.0,2.7142857142857144,3.0,3.0,4.0,True,7.0,5.428571428571429,5.0,14.0,3.0
54664,8.0,11.0,3.0,2.0,1.0,4.0,4.0,1.0,2.75,3.0,3.0,3.0,True,5.0,4.4,4.0,7.0,3.0
54669,90.0,25.0,2.0,2.0,65.0,0.0,2.0,0.0,0.5555555555555556,0.0,0.0,2.0,True,1.0,50.0,50.0,50.0,50.0
54683,57.0,46.0,2.0,2.0,16.0,5.0,4.0,0.0,1.6140350877192982,1.0,1.0,3.0,True,6.0,15.333333333333334,10.5,48.0,3.0
54685,66.0,13.0,2.0,2.0,53.0,0.0,2.0,0.0,0.3939393939393939,0.0,0.0,2.0,True,1.0,26.0,26.0,26.0,26.0
54737,59.0,23.0,2.0,2.0,36.0,0.0,3.0,0.0,0.7796610169491526,1.0,1.0,2.0,True,1.0,46.0,46.0,46.0,46.0
54748,100.0,89.0,2.0,2.0,17.0,6.0,6.0,0.0,1.78,2.0,1.0,4.0,True,7.0,25.428571428571427,9.0,129.0,3.0
54782,25.0,10.0,2.0,2.0,15.0,0.0,3.0,0.0,0.8,0.0,0.0,3.0,True,1.0,20.0,20.0,20.0,20.0
54785,86.0,48.0,2.0,2.0,38.0,0.0,5.0,0.0,1.1162790697674418,1.0,1.0,3.0,True,1.0,96.0,96.0,96.0,96.0
54802,59.0,52.0,2.0,2.0,12.0,5.0,5.0,0.0,1.7627118644067796,2.0,1.0,4.0,True,6.0,17.333333333333332,8.5,64.0,3.0
54805,9.0,12.0,4.0,3.0,1.0,4.0,3.0,2.0,2.6666666666666665,3.0,3.0,3.0,True,5.0,4.8,4.0,9.0,3.0
54816,45.0,25.0,2.0,2.0,20.0,0.0,3.0,0.0,1.1111111111111112,1.0,1.0,3.0,True,1.0,50.0,50.0,50.0,50.0
54831,7.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,1.4285714285714286,1.0,1.0,3.0,True,1.0,10.0,10.0,10.0,10.0
54838,64.0,6.0,2.0,2.0,58.0,0.0,1.0,0.0,0.1875,0.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
54894,57.0,12.0,2.0,2.0,45.0,0.0,2.0,0.0,0.42105263157894735,0.0,0.0,2.0,True,1.0,24.0,24.0,24.0,24.0
54897,26.0,5.0,2.0,2.0,21.0,0.0,3.0,0.0,0.38461538461538464,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
54913,7.0,4.0,2.0,2.0,3.0,0.0,4.0,0.0,1.1428571428571428,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
54920,49.0,4.0,2.0,2.0,45.0,0.0,3.0,0.0,0.16326530612244897,0.0,0.0,2.0,True,1.0,8.0,8.0,8.0,8.0
54932,52.0,9.0,2.0,2.0,43.0,0.0,2.0,0.0,0.34615384615384615,0.0,0.0,2.0,True,1.0,18.0,18.0,18.0,18.0
54933,27.0,13.0,2.0,2.0,14.0,0.0,3.0,0.0,0.9629629629629629,1.0,1.0,3.0,True,1.0,26.0,26.0,26.0,26.0
54962,48.0,41.0,2.0,2.0,12.0,5.0,5.0,0.0,1.7083333333333333,2.0,1.0,3.0,True,6.0,13.666666666666666,4.5,60.0,3.0
54977,35.0,13.0,2.0,2.0,22.0,0.0,3.0,0.0,0.7428571428571429,1.0,0.0,3.0,True,1.0,26.0,26.0,26.0,26.0
54988,11.0,14.0,3.0,2.0,1.0,4.0,5.0,1.0,2.5454545454545454,2.0,2.0,3.0,True,5.0,5.6,4.0,13.0,3.0
55003,53.0,47.0,2.0,2.0,9.0,3.0,5.0,0.0,1.7735849056603774,2.0,2.0,3.0,True,4.0,23.5,7.5,76.0,3.0
55020,10.0,6.0,2.0,2.0,4.0,0.0,3.0,0.0,1.2,1.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
55029,19.0,9.0,2.0,2.0,11.0,1.0,2.0,0.0,0.9473684210526315,1.0,1.0,2.0,True,2.0,9.0,9.0,14.0,4.0
55052,41.0,2.0,2.0,2.0,39.0,0.0,1.0,0.0,0.0975609756097561,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
55053,58.0,28.0,2.0,2.0,30.0,0.0,4.0,0.0,0.9655172413793104,1.0,0.0,3.0,True,1.0,56.0,56.0,56.0,56.0
55054,28.0,3.0,2.0,2.0,25.0,0.0,2.0,0.0,0.21428571428571427,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
55055,15.0,6.0,2.0,2.0,9.0,0.0,2.0,0.0,0.8,1.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
55057,16.0,14.0,2.0,2.0,3.0,1.0,4.0,0.0,1.75,2.0,2.0,3.0,True,2.0,14.0,14.0,25.0,3.0
55061,10.0,8.0,2.0,2.0,2.0,0.0,3.0,0.0,1.6,2.0,2.0,2.0,True,1.0,16.0,16.0,16.0,16.0
55063,52.0,19.0,2.0,2.0,34.0,1.0,4.0,0.0,0.7307692307692307,1.0,0.0,3.0,True,2.0,19.0,19.0,34.0,4.0
55064,30.0,23.0,2.0,2.0,7.0,0.0,4.0,0.0,1.5333333333333334,1.0,1.0,2.0,True,1.0,46.0,46.0,46.0,46.0
55067,93.0,7.0,2.0,2.0,86.0,0.0,2.0,0.0,0.15053763440860216,0.0,0.0,2.0,True,1.0,14.0,14.0,14.0,14.0
55068,32.0,14.0,2.0,2.0,18.0,0.0,4.0,0.0,0.875,1.0,1.0,3.0,True,1.0,28.0,28.0,28.0,28.0
55069,6.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,1.6666666666666667,2.0,2.0,3.0,True,2.0,5.0,5.0,5.0,5.0
55070,10.0,15.0,4.0,2.0,1.0,6.0,4.0,1.0,3.0,3.0,4.0,3.0,True,7.0,4.285714285714286,4.0,7.0,3.0
55071,52.0,43.0,2.0,2.0,13.0,4.0,5.0,0.0,1.6538461538461537,2.0,1.0,4.0,True,5.0,17.2,5.0,66.0,4.0
55072,11.0,13.0,5.0,3.0,1.0,3.0,5.0,1.0,2.3636363636363638,2.0,2.0,4.0,True,4.0,6.5,3.5,16.0,3.0
55073,70.0,12.0,2.0,2.0,58.0,0.0,3.0,0.0,0.34285714285714286,0.0,0.0,3.0,True,1.0,24.0,24.0,24.0,24.0
55074,12.0,13.0,2.0,2.0,3.0,4.0,4.0,0.0,2.1666666666666665,3.0,4.0,3.0,True,5.0,5.2,4.0,11.0,3.0
55076,18.0,16.0,2.0,2.0,4.0,2.0,5.0,0.0,1.7777777777777777,2.0,1.0,4.0,True,3.0,10.666666666666666,5.0,24.0,3.0
55078,48.0,17.0,2.0,2.0,31.0,0.0,2.0,0.0,0.7083333333333334,1.0,1.0,2.0,True,1.0,34.0,34.0,34.0,34.0
55079,39.0,38.0,2.0,2.0,8.0,7.0,6.0,0.0,1.9487179487179487,2.0,2.0,3.0,True,8.0,9.5,6.5,36.0,3.0
55080,26.0,20.0,2.0,2.0,7.0,1.0,4.0,0.0,1.5384615384615385,1.0,1.0,3.0,True,2.0,20.0,20.0,37.0,3.0
55081,28.0,33.0,10.0,5.0,1.0,6.0,5.0,1.0,2.357142857142857,2.0,3.0,4.0,True,7.0,9.428571428571429,4.0,42.0,3.0
55082,28.0,24.0,2.0,2.0,6.0,2.0,4.0,0.0,1.7142857142857142,2.0,1.0,3.0,True,3.0,16.0,5.0,38.0,5.0
55085,68.0,7.0,2.0,2.0,61.0,0.0,2.0,0.0,0.20588235294117646,0.0,0.0,2.0,True,1.0,14.0,14.0,14.0,14.0
55088,34.0,11.0,2.0,2.0,23.0,0.0,3.0,0.0,0.6470588235294118,0.0,0.0,2.0,True,1.0,22.0,22.0,22.0,22.0
55089,16.0,8.0,2.0,2.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,True,1.0,16.0,16.0,16.0,16.0
55093,12.0,13.0,2.0,2.0,2.0,3.0,3.0,0.0,2.1666666666666665,3.0,3.0,3.0,True,4.0,6.5,4.5,14.0,3.0
55096,32.0,5.0,2.0,2.0,27.0,0.0,1.0,0.0,0.3125,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
55097,21.0,10.0,2.0,2.0,11.0,0.0,4.0,0.0,0.9523809523809523,1.0,1.0,3.0,True,1.0,20.0,20.0,20.0,20.0
55098,12.0,18.0,5.0,3.0,1.0,7.0,5.0,1.0,3.0,3.0,3.0,4.0,True,8.0,4.5,4.0,10.0,3.0
55099,34.0,4.0,2.0,2.0,30.0,0.0,1.0,0.0,0.23529411764705882,0.0,0.0,2.0,True,1.0,8.0,8.0,8.0,8.0
55100,80.0,31.0,2.0,2.0,49.0,0.0,3.0,0.0,0.775,1.0,0.0,3.0,True,1.0,62.0,62.0,62.0,62.0
55102,28.0,15.0,2.0,2.0,13.0,0.0,3.0,0.0,1.0714285714285714,1.0,1.0,2.0,True,1.0,30.0,30.0,30.0,30.0
55103,25.0,16.0,2.0,2.0,9.0,0.0,3.0,0.0,1.28,1.0,1.0,3.0,True,1.0,32.0,32.0,32.0,32.0
55104,21.0,15.0,2.0,2.0,8.0,2.0,4.0,0.0,1.4285714285714286,1.0,1.0,4.0,True,3.0,10.0,5.0,22.0,3.0
55105,48.0,26.0,2.0,2.0,23.0,1.0,4.0,0.0,1.0833333333333333,1.0,0.0,3.0,True,2.0,26.0,26.0,45.0,7.0
55106,6.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.6666666666666667,2.0,2.0,2.0,True,2.0,5.0,5.0,6.0,4.0
55107,21.0,25.0,2.0,2.0,2.0,6.0,4.0,0.0,2.380952380952381,3.0,3.0,4.0,True,7.0,7.142857142857143,7.0,14.0,3.0
55110,18.0,20.0,2.0,2.0,4.0,6.0,5.0,0.0,2.2222222222222223,2.0,2.0,3.0,True,7.0,5.714285714285714,4.0,15.0,3.0
55112,9.0,13.0,3.0,2.0,1.0,5.0,5.0,1.0,2.888888888888889,3.0,2.0,3.0,True,6.0,4.333333333333333,4.5,5.0,3.0
55113,80.0,25.0,2.0,2.0,55.0,0.0,4.0,0.0,0.625,0.0,0.0,3.0,True,1.0,50.0,50.0,50.0,50.0
55114,37.0,17.0,2.0,2.0,20.0,0.0,3.0,0.0,0.918918918918919,1.0,1.0,3.0,True,1.0,34.0,34.0,34.0,34.0
55115,57.0,42.0,2.0,2.0,17.0,2.0,5.0,0.0,1.4736842105263157,1.0,1.0,3.0,True,3.0,28.0,6.0,74.0,4.0
55116,17.0,20.0,2.0,2.0,3.0,6.0,5.0,0.0,2.3529411764705883,3.0,3.0,4.0,True,7.0,5.714285714285714,5.0,14.0,3.0
55118,20.0,23.0,9.0,5.0,1.0,4.0,6.0,1.0,2.3,2.0,2.0,3.0,True,5.0,9.2,6.0,27.0,3.0
55120,21.0,7.0,2.0,2.0,14.0,0.0,3.0,0.0,0.6666666666666666,1.0,0.0,2.0,True,1.0,14.0,14.0,14.0,14.0
55121,53.0,3.0,2.0,2.0,50.0,0.0,2.0,0.0,0.11320754716981132,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
55122,8.0,9.0,2.0,2.0,2.0,3.0,4.0,0.0,2.25,3.0,3.0,4.0,True,4.0,4.5,3.5,8.0,3.0
55123,31.0,27.0,2.0,2.0,9.0,5.0,5.0,0.0,1.7419354838709677,1.0,1.0,3.0,True,6.0,9.0,3.5,36.0,3.0
55125,21.0,23.0,2.0,2.0,3.0,5.0,5.0,0.0,2.1904761904761907,2.0,1.0,4.0,True,6.0,7.666666666666667,5.0,24.0,3.0
55126,66.0,11.0,2.0,2.0,55.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,2.0,True,1.0,22.0,22.0,22.0,22.0
55127,44.0,21.0,2.0,2.0,24.0,1.0,4.0,0.0,0.9545454545454546,1.0,0.0,3.0,True,2.0,21.0,21.0,39.0,3.0
55128,20.0,14.0,2.0,2.0,7.0,1.0,3.0,0.0,1.4,1.0,1.0,2.0,True,2.0,14.0,14.0,24.0,4.0
55129,23.0,5.0,2.0,2.0,18.0,0.0,2.0,0.0,0.43478260869565216,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
55134,53.0,44.0,2.0,2.0,11.0,2.0,6.0,0.0,1.6603773584905661,1.0,1.0,3.0,True,3.0,29.333333333333332,12.0,71.0,5.0
55136,19.0,11.0,2.0,2.0,8.0,0.0,3.0,0.0,1.1578947368421053,1.0,1.0,2.0,True,1.0,22.0,22.0,22.0,22.0
55137,10.0,8.0,2.0,2.0,2.0,0.0,4.0,1.0,1.6,1.0,1.0,3.0,True,1.0,16.0,16.0,16.0,16.0
55138,79.0,26.0,2.0,2.0,53.0,0.0,3.0,0.0,0.6582278481012658,1.0,0.0,2.0,True,1.0,52.0,52.0,52.0,52.0
55141,13.0,9.0,2.0,2.0,5.0,1.0,3.0,0.0,1.3846153846153846,1.0,1.0,3.0,True,2.0,9.0,9.0,15.0,3.0
55143,93.0,68.0,2.0,2.0,27.0,2.0,5.0,0.0,1.4623655913978495,1.0,1.0,4.0,True,3.0,45.333333333333336,10.0,121.0,5.0
55146,19.0,17.0,2.0,2.0,4.0,2.0,4.0,0.0,1.7894736842105263,2.0,2.0,3.0,True,3.0,11.333333333333334,7.0,23.0,4.0
55147,14.0,22.0,4.0,2.0,1.0,9.0,6.0,1.0,3.142857142857143,3.0,2.0,3.0,True,10.0,4.4,3.0,15.0,3.0
55149,12.0,18.0,4.0,3.0,1.0,7.0,4.0,1.0,3.0,3.0,4.0,3.0,True,8.0,4.5,4.0,7.0,3.0
55151,13.0,14.0,5.0,3.0,1.0,2.0,7.0,1.0,2.1538461538461537,2.0,2.0,3.0,True,3.0,9.333333333333334,4.0,20.0,4.0
55152,13.0,16.0,2.0,2.0,3.0,6.0,6.0,0.0,2.4615384615384617,2.0,4.0,4.0,True,7.0,4.571428571428571,4.0,11.0,3.0
55154,88.0,64.0,2.0,2.0,31.0,7.0,5.0,0.0,1.4545454545454546,1.0,1.0,3.0,True,8.0,16.0,4.5,86.0,3.0
55155,80.0,66.0,2.0,2.0,19.0,5.0,7.0,0.0,1.65,1.0,1.0,4.0,True,6.0,22.0,8.5,93.0,4.0
55156,13.0,8.0,2.0,2.0,5.0,0.0,3.0,0.0,1.2307692307692308,1.0,2.0,2.0,True,1.0,16.0,16.0,16.0,16.0
55157,10.0,8.0,2.0,2.0,2.0,0.0,4.0,0.0,1.6,1.0,1.0,3.0,True,1.0,16.0,16.0,16.0,16.0
55159,30.0,24.0,2.0,2.0,9.0,3.0,4.0,0.0,1.6,2.0,2.0,3.0,True,4.0,12.0,7.5,29.0,4.0
55160,23.0,23.0,2.0,2.0,5.0,5.0,4.0,0.0,2.0,2.0,1.0,4.0,True,6.0,7.666666666666667,3.0,28.0,3.0
55161,56.0,43.0,2.0,2.0,18.0,5.0,5.0,0.0,1.5357142857142858,1.0,0.0,3.0,True,6.0,14.333333333333334,7.0,56.0,3.0
55164,16.0,20.0,2.0,2.0,3.0,7.0,5.0,0.0,2.5,3.0,2.0,3.0,True,8.0,5.0,4.0,7.0,4.0
55165,74.0,28.0,2.0,2.0,46.0,0.0,3.0,0.0,0.7567567567567568,1.0,0.0,3.0,True,1.0,56.0,56.0,56.0,56.0
55166,54.0,2.0,2.0,2.0,52.0,0.0,1.0,0.0,0.07407407407407407,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
55167,20.0,26.0,6.0,4.0,1.0,7.0,6.0,1.0,2.6,3.0,1.0,4.0,True,8.0,6.5,4.0,22.0,3.0
55168,13.0,19.0,2.0,2.0,2.0,8.0,5.0,0.0,2.923076923076923,3.0,2.0,3.0,True,9.0,4.222222222222222,4.0,6.0,3.0
55169,11.0,18.0,4.0,2.0,1.0,8.0,5.0,2.0,3.272727272727273,3.0,3.0,3.0,True,9.0,4.0,4.0,6.0,3.0
55171,56.0,41.0,2.0,2.0,19.0,4.0,5.0,0.0,1.4642857142857142,1.0,1.0,3.0,True,5.0,16.4,9.0,54.0,3.0
55173,39.0,29.0,2.0,2.0,13.0,3.0,4.0,0.0,1.4871794871794872,1.0,1.0,3.0,True,4.0,14.5,4.5,46.0,3.0
55175,11.0,7.0,2.0,2.0,4.0,0.0,5.0,0.0,1.2727272727272727,1.0,1.0,3.0,True,1.0,14.0,14.0,14.0,14.0
55179,43.0,24.0,2.0,2.0,20.0,1.0,4.0,0.0,1.1162790697674418,1.0,1.0,3.0,True,2.0,24.0,24.0,40.0,8.0
55180,60.0,33.0,2.0,2.0,27.0,0.0,4.0,0.0,1.1,1.0,1.0,3.0,True,1.0,66.0,66.0,66.0,66.0
55181,13.0,11.0,2.0,2.0,3.0,1.0,3.0,1.0,1.6923076923076923,2.0,2.0,3.0,True,2.0,11.0,11.0,15.0,7.0
55182,62.0,14.0,2.0,2.0,48.0,0.0,3.0,0.0,0.45161290322580644,0.0,0.0,3.0,True,1.0,28.0,28.0,28.0,28.0
55183,11.0,4.0,2.0,2.0,7.0,0.0,2.0,0.0,0.7272727272727273,0.0,0.0,3.0,True,1.0,8.0,8.0,8.0,8.0
55184,36.0,30.0,2.0,2.0,10.0,4.0,4.0,0.0,1.6666666666666667,1.0,1.0,4.0,True,5.0,12.0,3.0,46.0,3.0
55186,15.0,18.0,2.0,2.0,2.0,5.0,5.0,0.0,2.4,2.0,3.0,3.0,True,6.0,6.0,5.5,9.0,4.0
55187,43.0,27.0,2.0,2.0,18.0,2.0,4.0,0.0,1.255813953488372,1.0,0.0,3.0,True,3.0,18.0,4.0,46.0,4.0
55188,9.0,11.0,4.0,2.0,1.0,3.0,4.0,1.0,2.4444444444444446,2.0,2.0,3.0,True,4.0,5.5,5.5,8.0,3.0
55189,96.0,49.0,2.0,2.0,47.0,0.0,4.0,0.0,1.0208333333333333,1.0,0.0,3.0,True,1.0,98.0,98.0,98.0,98.0
55191,16.0,22.0,5.0,3.0,1.0,7.0,5.0,1.0,2.75,3.0,3.0,3.0,True,8.0,5.5,4.5,13.0,3.0
55193,20.0,11.0,2.0,2.0,9.0,0.0,2.0,0.0,1.1,1.0,1.0,2.0,True,1.0,22.0,22.0,22.0,22.0
55195,16.0,6.0,2.0,2.0,10.0,0.0,4.0,0.0,0.75,1.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
55196,37.0,11.0,2.0,2.0,26.0,0.0,3.0,0.0,0.5945945945945946,0.0,0.0,3.0,True,1.0,22.0,22.0,22.0,22.0
55197,31.0,17.0,2.0,2.0,14.0,0.0,3.0,0.0,1.096774193548387,1.0,1.0,3.0,True,1.0,34.0,34.0,34.0,34.0
55198,24.0,20.0,2.0,2.0,5.0,1.0,7.0,0.0,1.6666666666666667,2.0,2.0,3.0,True,2.0,20.0,20.0,36.0,4.0
55199,14.0,12.0,2.0,2.0,3.0,1.0,4.0,0.0,1.7142857142857142,2.0,1.0,3.0,True,2.0,12.0,12.0,20.0,4.0
55202,17.0,11.0,2.0,2.0,7.0,1.0,4.0,0.0,1.2941176470588236,1.0,0.0,3.0,True,2.0,11.0,11.0,17.0,5.0
55203,92.0,29.0,2.0,2.0,63.0,0.0,3.0,0.0,0.6304347826086957,0.0,0.0,3.0,True,1.0,58.0,58.0,58.0,58.0
55204,13.0,12.0,2.0,2.0,3.0,2.0,4.0,0.0,1.8461538461538463,2.0,2.0,3.0,True,3.0,8.0,3.0,18.0,3.0
55205,30.0,33.0,2.0,2.0,3.0,6.0,6.0,0.0,2.2,2.0,2.0,4.0,True,7.0,9.428571428571429,5.0,40.0,3.0
55206,89.0,31.0,2.0,2.0,59.0,1.0,4.0,0.0,0.6966292134831461,0.0,0.0,3.0,True,2.0,31.0,31.0,59.0,3.0
55207,23.0,26.0,2.0,2.0,3.0,6.0,6.0,0.0,2.260869565217391,2.0,1.0,4.0,True,7.0,7.428571428571429,4.0,27.0,3.0
55210,17.0,19.0,2.0,2.0,3.0,5.0,5.0,0.0,2.235294117647059,2.0,1.0,3.0,True,6.0,6.333333333333333,6.0,13.0,3.0
55211,33.0,9.0,2.0,2.0,24.0,0.0,2.0,0.0,0.5454545454545454,0.0,0.0,3.0,True,1.0,18.0,18.0,18.0,18.0
55212,82.0,54.0,2.0,2.0,30.0,2.0,6.0,0.0,1.3170731707317074,1.0,1.0,3.0,True,3.0,36.0,14.0,82.0,12.0
55213,27.0,9.0,2.0,2.0,18.0,0.0,3.0,0.0,0.6666666666666666,1.0,1.0,2.0,True,1.0,18.0,18.0,18.0,18.0
55214,86.0,40.0,2.0,2.0,47.0,1.0,5.0,0.0,0.9302325581395349,1.0,0.0,3.0,True,2.0,40.0,40.0,76.0,4.0
55215,12.0,14.0,2.0,2.0,2.0,4.0,5.0,0.0,2.3333333333333335,2.0,2.0,4.0,True,5.0,5.6,4.0,14.0,3.0
55216,88.0,36.0,2.0,2.0,52.0,0.0,3.0,0.0,0.8181818181818182,1.0,1.0,3.0,True,1.0,72.0,72.0,72.0,72.0
55217,12.0,7.0,2.0,2.0,6.0,1.0,4.0,0.0,1.1666666666666667,1.0,0.0,3.0,True,2.0,7.0,7.0,11.0,3.0
55218,33.0,25.0,2.0,2.0,10.0,2.0,5.0,0.0,1.5151515151515151,1.0,1.0,3.0,True,3.0,16.666666666666668,8.0,38.0,4.0
55219,13.0,12.0,2.0,2.0,3.0,2.0,3.0,0.0,1.8461538461538463,2.0,2.0,3.0,True,3.0,8.0,3.0,18.0,3.0
55220,9.0,13.0,4.0,2.0,1.0,5.0,5.0,1.0,2.888888888888889,3.0,3.0,4.0,True,6.0,4.333333333333333,3.0,9.0,3.0
55221,9.0,13.0,3.0,3.0,1.0,5.0,4.0,2.0,2.888888888888889,3.0,3.0,3.0,True,6.0,4.333333333333333,4.5,6.0,2.0
55222,60.0,55.0,2.0,2.0,14.0,9.0,7.0,0.0,1.8333333333333333,2.0,1.0,3.0,True,10.0,11.0,8.0,38.0,4.0
55223,13.0,11.0,2.0,2.0,4.0,2.0,4.0,0.0,1.6923076923076923,2.0,3.0,3.0,True,3.0,7.333333333333333,6.0,11.0,5.0
55225,22.0,11.0,2.0,2.0,11.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,True,1.0,22.0,22.0,22.0,22.0
55228,12.0,20.0,3.0,3.0,1.0,9.0,5.0,2.0,3.3333333333333335,3.0,3.0,5.0,True,10.0,4.0,3.5,6.0,3.0
55229,10.0,17.0,3.0,2.0,1.0,8.0,5.0,1.0,3.4,4.0,4.0,3.0,True,9.0,3.7777777777777777,3.0,7.0,3.0
55230,7.0,10.0,3.0,2.0,1.0,4.0,4.0,2.0,2.857142857142857,3.0,3.0,3.0,True,5.0,4.0,4.0,5.0,3.0
55231,15.0,11.0,2.0,2.0,5.0,1.0,3.0,0.0,1.4666666666666666,1.0,1.0,3.0,True,2.0,11.0,11.0,19.0,3.0
55233,22.0,12.0,2.0,2.0,10.0,0.0,3.0,0.0,1.0909090909090908,1.0,1.0,3.0,True,1.0,24.0,24.0,24.0,24.0
55235,40.0,22.0,2.0,2.0,18.0,0.0,3.0,0.0,1.1,1.0,1.0,3.0,True,1.0,44.0,44.0,44.0,44.0
55237,25.0,2.0,2.0,2.0,23.0,0.0,2.0,0.0,0.16,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
55240,20.0,23.0,2.0,2.0,4.0,7.0,4.0,0.0,2.3,2.0,2.0,3.0,True,8.0,5.75,5.0,10.0,3.0
55241,41.0,3.0,2.0,2.0,38.0,0.0,2.0,0.0,0.14634146341463414,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
55242,25.0,4.0,2.0,2.0,21.0,0.0,1.0,0.0,0.32,0.0,0.0,2.0,True,1.0,8.0,8.0,8.0,8.0
55243,19.0,19.0,2.0,2.0,4.0,4.0,5.0,0.0,2.0,2.0,2.0,3.0,True,5.0,7.6,7.0,15.0,3.0
55244,8.0,9.0,4.0,2.0,1.0,2.0,4.0,1.0,2.25,2.0,2.0,3.0,True,3.0,6.0,4.0,11.0,3.0
55245,12.0,17.0,2.0,2.0,3.0,8.0,6.0,0.0,2.8333333333333335,3.0,3.0,4.0,True,9.0,3.7777777777777777,4.0,6.0,3.0
55246,14.0,14.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,3.0,True,3.0,9.333333333333334,6.0,18.0,4.0
55248,67.0,44.0,2.0,2.0,25.0,2.0,4.0,0.0,1.3134328358208955,1.0,0.0,3.0,True,3.0,29.333333333333332,5.0,80.0,3.0
55249,43.0,0.0,2.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
55250,8.0,9.0,2.0,2.0,2.0,3.0,4.0,0.0,2.25,2.0,4.0,3.0,True,4.0,4.5,3.0,9.0,3.0
55251,9.0,10.0,2.0,2.0,2.0,3.0,5.0,0.0,2.2222222222222223,2.0,2.0,3.0,True,4.0,5.0,4.0,9.0,3.0
55254,41.0,29.0,2.0,2.0,12.0,0.0,4.0,0.0,1.4146341463414633,1.0,1.0,3.0,True,1.0,58.0,58.0,58.0,58.0
55257,32.0,24.0,2.0,2.0,10.0,2.0,4.0,0.0,1.5,1.0,1.0,3.0,True,3.0,16.0,9.0,36.0,3.0
55258,8.0,14.0,2.0,2.0,1.0,7.0,5.0,3.0,3.5,3.0,3.0,3.0,True,8.0,3.5,3.5,5.0,2.0
55260,29.0,24.0,2.0,2.0,7.0,2.0,4.0,0.0,1.6551724137931034,1.0,1.0,3.0,True,3.0,16.0,4.0,41.0,3.0
55261,9.0,10.0,2.0,2.0,2.0,3.0,4.0,0.0,2.2222222222222223,2.0,2.0,3.0,True,4.0,5.0,4.0,9.0,3.0
55262,9.0,9.0,5.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,True,2.0,9.0,9.0,15.0,3.0
55263,13.0,16.0,2.0,2.0,3.0,6.0,6.0,0.0,2.4615384615384617,2.0,3.0,3.0,True,7.0,4.571428571428571,3.0,12.0,3.0
55264,5.0,6.0,2.0,2.0,2.0,3.0,3.0,0.0,2.4,3.0,3.0,4.0,True,4.0,3.0,3.0,3.0,3.0
55265,49.0,30.0,2.0,2.0,19.0,0.0,4.0,0.0,1.2244897959183674,1.0,1.0,3.0,True,1.0,60.0,60.0,60.0,60.0
55267,34.0,22.0,2.0,2.0,12.0,0.0,4.0,0.0,1.2941176470588236,1.0,1.0,2.0,True,1.0,44.0,44.0,44.0,44.0
55271,39.0,21.0,2.0,2.0,19.0,1.0,3.0,0.0,1.0769230769230769,1.0,0.0,3.0,True,2.0,21.0,21.0,39.0,3.0
55272,83.0,64.0,2.0,2.0,24.0,5.0,5.0,0.0,1.5421686746987953,1.0,1.0,3.0,True,6.0,21.333333333333332,9.5,85.0,3.0
