,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
83232,55.0,40.0,2.0,2.0,17.0,2.0,5.0,0.0,1.4545454545454546,1.0,1.0,3.0,True,3.0,26.666666666666668,5.0,70.0,5.0
83233,67.0,18.0,2.0,2.0,50.0,1.0,3.0,0.0,0.5373134328358209,0.0,0.0,3.0,True,2.0,18.0,18.0,33.0,3.0
83234,44.0,25.0,2.0,2.0,20.0,1.0,5.0,0.0,1.1363636363636365,1.0,1.0,3.0,True,2.0,25.0,25.0,44.0,6.0
83235,62.0,57.0,2.0,2.0,10.0,5.0,6.0,0.0,1.8387096774193548,2.0,2.0,3.0,True,6.0,19.0,13.0,65.0,3.0
83236,13.0,7.0,2.0,2.0,8.0,2.0,4.0,0.0,1.0769230769230769,0.0,0.0,3.0,True,3.0,4.666666666666667,4.0,7.0,3.0
83237,83.0,67.0,2.0,2.0,20.0,4.0,5.0,0.0,1.6144578313253013,1.0,1.0,4.0,True,5.0,26.8,4.0,116.0,3.0
83239,52.0,14.0,2.0,2.0,38.0,0.0,3.0,0.0,0.5384615384615384,0.0,0.0,2.0,True,1.0,28.0,28.0,28.0,28.0
83240,42.0,28.0,2.0,2.0,16.0,2.0,4.0,0.0,1.3333333333333333,1.0,1.0,3.0,True,3.0,18.666666666666668,6.0,46.0,4.0
83243,71.0,50.0,2.0,2.0,25.0,4.0,4.0,0.0,1.408450704225352,1.0,1.0,3.0,True,5.0,20.0,8.0,71.0,3.0
83244,38.0,14.0,2.0,2.0,25.0,1.0,4.0,0.0,0.7368421052631579,1.0,1.0,3.0,True,2.0,14.0,14.0,25.0,3.0
83246,10.0,17.0,3.0,2.0,1.0,8.0,6.0,2.0,3.4,3.0,3.0,3.0,True,9.0,3.7777777777777777,4.0,6.0,3.0
83249,9.0,14.0,3.0,2.0,1.0,6.0,5.0,1.0,3.111111111111111,4.0,4.0,4.0,True,7.0,4.0,3.0,10.0,3.0
83250,8.0,7.0,4.0,2.0,1.0,0.0,3.0,1.0,1.75,2.0,1.0,3.0,True,1.0,14.0,14.0,14.0,14.0
83251,62.0,58.0,2.0,2.0,13.0,9.0,5.0,0.0,1.8709677419354838,2.0,2.0,4.0,True,10.0,11.6,5.5,66.0,3.0
83252,42.0,33.0,2.0,2.0,12.0,3.0,4.0,0.0,1.5714285714285714,1.0,1.0,4.0,True,4.0,16.5,5.0,52.0,4.0
83258,9.0,18.0,3.0,2.0,1.0,10.0,6.0,3.0,4.0,4.0,4.0,4.0,True,11.0,3.272727272727273,3.0,5.0,2.0
83262,16.0,6.0,2.0,2.0,10.0,0.0,3.0,0.0,0.75,0.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
83264,94.0,65.0,2.0,2.0,31.0,2.0,6.0,0.0,1.3829787234042554,1.0,1.0,3.0,True,3.0,43.333333333333336,10.0,117.0,3.0
83265,9.0,9.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,True,3.0,6.0,4.0,11.0,3.0
